COVID-19 Legislation,Region,Official Description,Source Link,Status Text,Last Timeline Action,Last Timeline Action Date,Internal Quorum Link
H1034: Small Business Emergency Loans.,North Carolina,Small Business Emergency Loans.,https://www.ncleg.gov/BillLookUp/2019/H1034,Introduced or Prefiled,"Ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728091
H.D.5048: An Act Relative To Compensation For Paramedics And Emergency Medical Technicians Providing Ambulance Services During The Covid-19 Massachusetts State Of Emergency,Massachusetts,An Act Relative To Compensation For Paramedics And Emergency Medical Technicians Providing Ambulance Services During The Covid-19 Massachusetts State Of Emergency,https://malegislature.gov/Bills/191/HD5048,Introduced or Prefiled,Draft Filed,4/24/20,https://quorum.us/bill/2728080
H.D.5051: An Act Establishing The Covid-19 Essential Worker Burial Assistance Fund,Massachusetts,An Act Establishing The Covid-19 Essential Worker Burial Assistance Fund,https://malegislature.gov/Bills/191/HD5051,Introduced or Prefiled,Draft Filed,4/27/20,https://quorum.us/bill/2728082
H.B.2386: An Act providing for COVID-19 disaster emergency business interruption grants.,Pennsylvania,An Act providing for COVID-19 disaster emergency business interruption grants.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2386,Out of Committee,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2724150
S704: COVID-19 Recovery Act.,North Carolina,COVID-19 Recovery Act.,https://www.ncleg.gov/BillLookUp/2019/S704,Introduced or Prefiled,Filed,4/28/20,https://quorum.us/bill/2728137
S.R.0112: A resolution to urge the Governor to use the most current federal guidelines on identifying essential critical infrastructure workers.,Michigan,A resolution to urge the Governor to use the most current federal guidelines on identifying essential critical infrastructure workers.,http://legislature.mi.gov/doc.aspx?2020-SR-0112,Enacted,Adopted,4/28/20,https://quorum.us/bill/2728114
"H.F.4541: COVID-19; eviction and mortgage foreclosure protection and emergency housing assistance provided during a public health emergency, report required, penalties for false statements provided, and money appropriated. ",Minnesota,"COVID-19; eviction and mortgage foreclosure protection and emergency housing assistance provided during a public health emergency, report required, penalties for false statements provided, and money appropriated.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4541&ssn=0&y=2019,Out of Committee,Joint rule 2.03 waived,4/28/20,https://quorum.us/bill/2724656
"H.B.2392: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in Independent Fiscal Office, further providing for definitions and for duties of office.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, in Independent Fiscal Office, further providing for definitions and for duties of office.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2392,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2724495
H1040: Healthcare for Working North Carolinians.,North Carolina,Healthcare for Working North Carolinians.,https://www.ncleg.gov/BillLookUp/2019/H1040,Introduced or Prefiled,"Ref To Com On Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728092
H1035: Education Omnibus/COVID-19.,North Carolina,Education Omnibus/COVID-19.,https://www.ncleg.gov/BillLookUp/2019/H1035,Introduced or Prefiled,"Ref to the Com on Education - K-12, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728086
"H.F.3499: Help America Vote Act appropriation purpose transferred, and money appropriated.",Minnesota,"Help America Vote Act appropriation purpose transferred, and money appropriated.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF3499&ssn=0&y=2019,Out of Committee,Author added Hassan,4/28/20,https://quorum.us/bill/2703443
H.D.5050: An Act Relative To A Covid-19 Presumption For Public Employees,Massachusetts,An Act Relative To A Covid-19 Presumption For Public Employees,https://malegislature.gov/Bills/191/HD5050,Introduced or Prefiled,Draft Filed,4/27/20,https://quorum.us/bill/2728083
H.F.4604: Dental clinic grant program to operate and provide emergency dental care established.,Minnesota,Dental clinic grant program to operate and provide emergency dental care established.,https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4604&ssn=0&y=2019,Introduced or Prefiled,"Introduction and first reading, referred to Health and Human Services Finance Division",4/28/20,https://quorum.us/bill/2728169
"H.B.2418: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 debt cost reduction review.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 debt cost reduction review.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2418,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2725049
H1043: COVID-19 Time Sensitive Matters.,North Carolina,COVID-19 Time Sensitive Matters.,https://www.ncleg.gov/BillLookUp/2019/H1043,Introduced or Prefiled,"Ref to the Com on Pensions and Retirement, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728094
"H.B.360: An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in marriage license, further providing for restrictions on issuance of license and for oral examination; and, in child protective services, providing for pandemic of 2020.",Pennsylvania,"An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in marriage license, further providing for restrictions on issuance of license and for oral examination; and, in child protective services, providing for pandemic of 2020.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=360,Passed Original Chamber,PN 3657 Amended on third consideration,4/28/20,https://quorum.us/bill/2533708
H.4652: An Act Regarding Decarceration And Covid-19,Massachusetts,"By Ms. Sabadosa of Northampton, a petition (subject to Joint Rule 12) of Lindsay N. Sabadosa and others relative to pretrial services during the COVID-19 declaration of emergency. The Judiciary.",https://malegislature.gov/Bills/191/H4652,Introduced or Prefiled,Hearing scheduled for 05/05/2020 from 09:00 AM-05:00 PM in Written Testimony Only,4/28/20,https://quorum.us/bill/2724766
"H.B.2413: An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in additional special funds and restricted accounts, providing for COVID-19 response transfers for assistance to the Commonwealth's volunteer service organizations; and making an appropriation.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.343, No.176), known as The Fiscal Code, in additional special funds and restricted accounts, providing for COVID-19 response transfers for assistance to the Commonwealth's volunteer service organizations; and making an appropriation.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2413,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2725051
"H.B.2457: An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in Commonwealth services, providing for small retail business operation during COVID-19 disaster emergency.",Pennsylvania,"An Act amending Title 35 (Health and Safety) of the Pennsylvania Consolidated Statutes, in Commonwealth services, providing for small retail business operation during COVID-19 disaster emergency.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2457,Introduced or Prefiled,PN 3651 Referred to STATE GOVERNMENT,4/28/20,https://quorum.us/bill/2728109
H1044: Amend Rules/State of Emergency.,North Carolina,Amend Rules/State of Emergency.,https://www.ncleg.gov/BillLookUp/2019/H1044,Enacted,Adopted,4/28/20,https://quorum.us/bill/2728103
H.B.5741: Corporate income tax; credits; employee retention tax credit for certain businesses; provide for.,Michigan,Corporate income tax; credits; employee retention tax credit for certain businesses; provide for.,http://legislature.mi.gov/doc.aspx?2020-HB-5741,Introduced or Prefiled,Bill Electronically Reproduced 04/29/2020,4/29/20,https://quorum.us/bill/2728101
H1046: COVID-19 Paid Sick Leave.,North Carolina,COVID-19 Paid Sick Leave.,https://www.ncleg.gov/BillLookUp/2019/H1046,Introduced or Prefiled,"Ref to the Com on Finance, if favorable, Commerce, if favorable, Health, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728113
H1039: COVID-19 Response Act - Economic Support.,North Carolina,COVID-19 Response Act - Economic Support.,https://www.ncleg.gov/BillLookUp/2019/H1039,Introduced or Prefiled,"Ref to the Com on Finance, if favorable, Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728090
"PR23-0787: Mortgage Relief Emergency Declaration Resolution of 2020 (aka ""COVID-19 Supplemental Corrections Emergency Declaration Resolution of 2020"")",District of Columbia,Mortgage Relief Emergency Declaration Resolution of 2020,http://lims.dccouncil.us/Legislation/PR23-0787,Enacted,Approved,4/28/20,https://quorum.us/bill/2725159
S.R.0111: A resolution to urge the Governor to allow elective procedures in hospitals and to allow healthcare providers the freedom to determine their capacity to handle elective procedures.,Michigan,A resolution to urge the Governor to allow elective procedures in hospitals and to allow healthcare providers the freedom to determine their capacity to handle elective procedures.,http://legislature.mi.gov/doc.aspx?2020-SR-0111,Enacted,Adopted,4/28/20,https://quorum.us/bill/2728098
H.4658: An Act Relative To Remote Notarization During Covid-19 State Of Emergency,Massachusetts,"By Mr. Moran of Lawrence, a petition (subject to Joint Rule 12) of Frank A. Moran and others relative to remote notarization during the COVID-19 state of emergency. The Judiciary.",https://malegislature.gov/Bills/191/H4658,Introduced or Prefiled,Hearing scheduled for 05/05/2020 from 09:00 AM-05:00 PM in Written Testimony Only,4/28/20,https://quorum.us/bill/2724773
"H.4659: An Act To Protect Institutions That Provide Emergency Aid In Response To The Outbreak Of The 2019 Novel Coronavirus, Also Known As Covid-19 ",Massachusetts,"By Mr. Roy of Franklin, a petition (subject to Joint Rule 12) of Jeffrey N. Roy and others that certain institutions of higher education offering emergency aid be immune from suit and liability. The Judiciary.",https://malegislature.gov/Bills/191/H4659,Introduced or Prefiled,Hearing scheduled for 05/05/2020 from 09:00 AM-05:00 PM in Written Testimony Only,4/28/20,https://quorum.us/bill/2724772
H1045: Emergency Assistance for Commercial Fishermen.,North Carolina,Emergency Assistance for Commercial Fishermen.,https://www.ncleg.gov/BillLookUp/2019/H1045,Introduced or Prefiled,"Ref To Com On Rules, Calendar, and Operations of the House",4/28/20,https://quorum.us/bill/2728102
"H.B.2415: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 emergency statutory and regulatory suspensions and waivers reporting requirements.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 emergency statutory and regulatory suspensions and waivers reporting requirements.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2415,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2725065
"H.B.2412: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for emergency COVID-19 provisions.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2412,Passed Original Chamber,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2724740
"H.B.2369: An Act amending the act of June 29, 1996 (P.L.434, No.67), known as the Job Enhancement Act, in Community Development Bank Grant and Loan Program, further providing for definitions and providing for COVID-19 grant and loan programs.",Pennsylvania,"An Act amending the act of June 29, 1996 (P.L.434, No.67), known as the Job Enhancement Act, in Community Development Bank Grant and Loan Program, further providing for definitions and providing for COVID-19 grant and loan programs.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2369,Out of Committee,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2722941
"S.B.1123: An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 emergency provisions.",Pennsylvania,"An Act amending the act of April 9, 1929 (P.L.177, No.175), known as The Administrative Code of 1929, providing for COVID-19 emergency provisions.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=S&type=B&bn=1123,Out of Committee,First consideration,4/28/20,https://quorum.us/bill/2727395
"H.B.327: An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in preliminary provisions, further providing for definitions; and, in licenses and regulations, liquor, alcohol and malt and brewed beverages, providing for prepared beverages and mixed drinks for off-premises consumption during disaster emergency.",Pennsylvania,"An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in preliminary provisions, further providing for definitions; and, in licenses and regulations, liquor, alcohol and malt and brewed beverages, providing for prepared beverages and mixed drinks for off-premises consumption during disaster emergency.",https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=327,Out of Committee,(Remarks see House Journal Page ),4/28/20,https://quorum.us/bill/2525975
"H.F.4591: COVID-19; multilingual helpline to report discrimination development funding provided, and money appropriated.",Minnesota,"COVID-19; multilingual helpline to report discrimination development funding provided, and money appropriated.",https://www.revisor.mn.gov/bills/bill.php?b=House&f=HF4591&ssn=0&y=2019,Introduced or Prefiled,"Introduction and first reading, referred to Judiciary Finance and Civil Law Division",4/28/20,https://quorum.us/bill/2728168
"R.C.C.0686: Para suspender por un término de dos (2) años la aplicación del inciso (g) de la Sección 1023.3 de la Ley Núm. 1-2011, según enmendada, conocida como “Código de Rentas Internas para un Nuevo Puerto Rico”, a los fines de eximir a las corporaciones de tener que pagar la “contribución mínima tentativa” que impone dicho inciso en los casos donde sea aplicable; conceder un crédito a favor de las corporaciones que hayan satisfecho dicha contribución; y para otros fines relacionados.",Puerto Rico,"Para suspender por un término de dos (2) años la aplicación del inciso (g) de la Sección 1023.3 de la Ley Núm. 1-2011, según enmendada, conocida como “Código de Rentas Internas para un Nuevo Puerto Rico”, a los fines de eximir a las corporaciones de tener que pagar la “contribución mínima tentativa” que impone dicho inciso en los casos donde sea aplicable; conceder un crédito a favor de las corporaciones que hayan satisfecho dicha contribución; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135769,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2728149
S.8231: Prohibits the inclusion of claims for unemployment insurance arising from the closure of an employer due to COVID-19 from being included in such employer's experience rating charges,New York,Prohibits the inclusion of claims for unemployment insurance arising from the closure of an employer due to COVID-19 from being included in such employer's experience rating charges.,http://nysenate.gov/legislation/bills/2019/S8231,Introduced or Prefiled,Referred To Labor,4/27/20,https://quorum.us/bill/2728147
S.8251: Relates to the determination of points for service award programs for volunteer firefighters during a state disaster emergency,New York,Relates to the determination of points for service award programs for volunteer firefighters during a state disaster emergency and authorizes service award program sponsors to adjust certain point systems when such sponsor adopts written emergency response protocols that set different emergency response requirements for different entities prohibiting or restricting some participants from responding to non-emergency rescue and first aid squad calls.,http://nysenate.gov/legislation/bills/2019/S8251,Introduced or Prefiled,Referred To Local Government,4/27/20,https://quorum.us/bill/2728146
"R.C.C.0684: Para autorizar a las agencias, dependencias, oficinas corporaciones públicas e instrumentalidades de la Rama Ejecutiva del Gobierno de Puerto Rico y a los municipios la reprogramación de fondos con el propósito de adquirir equipo para prevenir el contagio del COVID-19; autorizar la adopción de cualquier carta circular, reglamento, regla, normativa o cualquier documento de similar naturaleza, para la consecución de los propósitos de esta Resolución Conjunta; y para otros fines relacionados.",Puerto Rico,"Para autorizar a las agencias, dependencias, oficinas corporaciones públicas e instrumentalidades de la Rama Ejecutiva del Gobierno de Puerto Rico y a los municipios la reprogramación de fondos con el propósito de adquirir equipo para prevenir el contagio del COVID-19; autorizar la adopción de cualquier carta circular, reglamento, regla, normativa o cualquier documento de similar naturaleza, para la consecución de los propósitos de esta Resolución Conjunta; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135766,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2728145
"S.8229: Relates to price gouging, fraud, and deceptive acts involving medical supplies related to a public health emergency",New York,"Relates to price gouging, fraud, and deceptive acts involving medical supplies related to a public health emergency.",http://nysenate.gov/legislation/bills/2019/S8229,Introduced or Prefiled,Referred To Consumer Protection,4/27/20,https://quorum.us/bill/2728155
"P.C.2474: Para autorizar a las Legislatura Municipales de todos los municipios de Puerto Rico para que adopten una ordenanza municipal que conceda, a toda persona dedicada a la prestación de cualquier servicio, a la venta de cualquier bien, a cualquier negocio financiero y a cualquier industria o negocio, sujeta al pago de patentes municipales, que no haya rendido las declaraciones o planillas requeridas para cualesquiera años terminados en o antes del 30 de julio de 2020, o que habiendo rendido dichas declaraciones o planillas, hubiere omitido del volumen de negocios una cantidad propiamente incluible en el mismo para cualesquiera seis (6) años anteriores al 30 de julio de 2020, o que habiendo rendido las declaraciones no hubiere pagado el monto adeudado por concepto de la patente, o que habiéndolas rendido y pagado desea enmendar las declaraciones, la opción de rendir una declaración en la forma o modelo que establezca la Oficina de Gerencia Municipal de la Oficina de Gerencia y Presupuesto, y pagar la contribución correspondiente a la patente, sin sujeción a las penalidades civiles o criminales dispuestas en la Ley Núm. 113 de 10 de julio de 1974, según enmendada conocida como “Ley de Patentes Municipales”; y para otros fines relacionados.",Puerto Rico,"Para autorizar a las Legislatura Municipales de todos los municipios de Puerto Rico para que adopten una ordenanza municipal que conceda, a toda persona dedicada a la prestación de cualquier servicio, a la venta de cualquier bien, a cualquier negocio financiero y a cualquier industria o negocio, sujeta al pago de patentes municipales, que no haya rendido las declaraciones o planillas requeridas para cualesquiera años terminados en o antes del 30 de julio de 2020, o que habiendo rendido dichas declaraciones o planillas, hubiere omitido del volumen de negocios una cantidad propiamente incluible en el mismo para cualesquiera seis (6) años anteriores al 30 de julio de 2020, o que habiendo rendido las declaraciones no hubiere pagado el monto adeudado por concepto de la patente, o que habiéndolas rendido y pagado desea enmendar las declaraciones, la opción de rendir una declaración en la forma o modelo que establezca la Oficina de Gerencia Municipal de la Oficina de Gerencia y Presupuesto, y pagar la contribución correspondiente a la patente, sin sujeción a las penalidades civiles o criminales dispuestas en la Ley Núm. 113 de 10 de julio de 1974, según enmendada conocida como “Ley de Patentes Municipales”; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135694,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2727991
"P.C.2477: Para enmendar el Artículo 66 de la Ley 146-2012, según enmendada, conocida como “Código Penal de Puerto Rico”, a los fines de incluir como circunstancia agravante a la pena, cuando el delito es cometido contra el ejercicio del cargo público y contra los fondos públicos, durante una declaración de estado de emergencia o desastre, debidamente decretado por el Gobernador de Puerto Rico o por el Presidente de los Estados Unidos de América; enmendar el Artículo 3.4 de la Ley 2-2018, según enmendada, conocida como “Código Anticorrupción para el Nuevo Puerto Rico”, con el propósito de establecer que cuando una persona, natural o jurídica, haya sido convicta por infringir los artículos 4.2, 4.3 o 5.7 de la Ley 1-2012, según enmendada, conocida como “Ley Orgánica de la Oficina de Ética Gubernamental”, o por violentar alguno de los delitos graves contra el ejercicio del cargo público o contra los fondos públicos de los contenidos en los artículos 250 al 266 de la Ley 146-2012, según enmendada, conocida como “Código Penal de Puerto Rico”, o cualquiera de los delitos tipificados en este Código o por cualquier otro delito grave que involucre el mal uso de los fondos o propiedad pública, incluyendo sin limitarse a, los delitos contenidos en la Sección 6.8 de la Ley 8-2017, según enmendada, conocida como “Ley para la Administración y Transformación de los Recursos Humanos en el Gobierno de Puerto Rico”, durante una declaración de estado de emergencia o desastre, debidamente decretado por el Gobernador de Puerto Rico o por el Presidente de los Estados Unidos de América, quedará inhabilitada de contratar o licitar con cualquier agencia ejecutiva del Gobierno de Puerto Rico permanentemente; enmendar la Sección 6.8 de la Ley 8-2017, según enmendada, conocida como “Ley para la Administración y Transformación de los Recursos Humanos en el Gobierno de Puerto Rico”, a los efectos de atemperar la misma con la presente Ley; y para otros fines relacionados.",Puerto Rico,"Para enmendar el Artículo 66 de la Ley 146-2012, según enmendada, conocida como “Código Penal de Puerto Rico”, a los fines de incluir como circunstancia agravante a la pena, cuando el delito es cometido contra el ejercicio del cargo público y contra los fondos públicos, durante una declaración de estado de emergencia o desastre, debidamente decretado por el Gobernador de Puerto Rico o por el Presidente de los Estados Unidos de América; enmendar el Artículo 3.4 de la Ley 2-2018, según enmendada, conocida como “Código Anticorrupción para el Nuevo Puerto Rico”, con el propósito de establecer que cuando una persona, natural o jurídica, haya sido convicta por infringir los artículos 4.2, 4.3 o 5.7 de la Ley 1-2012, según enmendada, conocida como “Ley Orgánica de la Oficina de Ética Gubernamental”, o por violentar alguno de los delitos graves contra el ejercicio del cargo público o contra los fondos públicos de los contenidos en los artículos 250 al 266 de la Ley 146-2012, según enmendada, conocida como “Código Penal de Puerto Rico”, o cualquiera de los delitos tipificados en este Código o por cualquier otro delito grave que involucre el mal uso de los fondos o propiedad pública, incluyendo sin limitarse a, los delitos contenidos en la Sección 6.8 de la Ley 8-2017, según enmendada, conocida como “Ley para la Administración y Transformación de los Recursos Humanos en el Gobierno de Puerto Rico”, durante una declaración de estado de emergencia o desastre, debidamente decretado por el Gobernador de Puerto Rico o por el Presidente de los Estados Unidos de América, quedará inhabilitada de contratar o licitar con cualquier agencia ejecutiva del Gobierno de Puerto Rico permanentemente; enmendar la Sección 6.8 de la Ley 8-2017, según enmendada, conocida como “Ley para la Administración y Transformación de los Recursos Humanos en el Gobierno de Puerto Rico”, a los efectos de atemperar la misma con la presente Ley; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135701,Introduced or Prefiled,Aparece en Primera Lectura de la Cámara,4/27/20,https://quorum.us/bill/2727997
H.B.2451: An Act providing for the Emergency COVID-19 Homelessness Grant Program; imposing duties on the Department of Human Services; and making an appropriation.,Pennsylvania,An Act providing for the Emergency COVID-19 Homelessness Grant Program; imposing duties on the Department of Human Services; and making an appropriation.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2451,Introduced or Prefiled,PN 3636 Referred to HUMAN SERVICES,4/27/20,https://quorum.us/bill/2727999
H.B.2440: An Act providing for COVID-19 guidelines for outdoor sportsman clubs.,Pennsylvania,An Act providing for COVID-19 guidelines for outdoor sportsman clubs.,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2019&sind=0&body=H&type=B&bn=2440,Introduced or Prefiled,PN 3622 Referred to STATE GOVERNMENT,4/27/20,https://quorum.us/bill/2728009
